city,oblast,lat,lon,category,quote_uk,quote_en,time,source,link,contested,status,first_day,last_day,days_active,peak_day,note
Kyiv,Kyiv City,50.4501,30.5234,5000+,взяли участь близько 6 тисяч осіб,"about 6,000 people took part","31 Jul (day 16), evening","Укрінформ (police estimate, via Radio Svoboda and Bukvy)",https://www.ukrinform.ua/rubric-regions/4149949-u-kievi-vidbuvaetsa-protestna-hoda-za-reformi-v-oboronnij-sferi.html,yes,ended,2026-07-16,2026-08-19,30,2026-07-31,"The city peak came on day 16, not at the start: police estimated about 6,000 people at the 31 July all-Ukrainian march. The peak remains contested because published estimates ranged from about 1,000 early in the march to organiser claims of up to 15,000 and qualitative reports of tens of thousands. A repeat march on 16 August drew roughly 1,000–1,500. The final small Kyiv actions drew no more than about 30 on 18 August; on 19 August about 100 gathered near parliament in the morning and about 30 attended the evening gathering. Parliament approved Yevhen Khmara on 19 August and the coordinated campaign closed. Last documented Kyiv action: 2026-08-19; 30 distinct documented action days."
Kharkiv,Kharkiv,49.9935,36.2304,100–999,"спочатку людей було близько 100, але за пів години їх побільшало орієнтовно до 300","at first about 100 people, but within half an hour the number grew to roughly 300",10:12,MediaPort (own correspondent); Suspilne national round-up gives «щонайменше 300»,https://mediaport.ua/u-retrohradnyy-merkuriy-ministriv-ne-miniaiut-u-kharkovi-startuvala-aktsiia-na-pidtrymku-fedorova/,yes,ended,2026-07-16,2026-08-19,19,2026-07-19,"Peak of roughly 300, corroborated by two independent sources: MediaPort on the scene, which watched the crowd grow from 100 to 300 within half an hour, and the Suspilne national round-up («щонайменше 300»). Police via Suspilne Kharkiv gave «близько 200» at 12:10, a later snapshot after part of the crowd had left, not a refutation of the peak. «Десятки» at 09:24 is a slice taken while the crowd was still gathering. One action, not two: Svobody Square, Shevchenko Garden and Universytet metro are one site; during an air-raid alert the rally moved into the metro underpass for about ten minutes. Day 3 (18 Jul): police counted «близько 400 людей» at 20:00 (Suspilne day-3 round-up), the wave high; the category is unchanged. Police counted the city repeatedly through the second week: «близько 350 людей» at 20:00 on 20 July, «близько 250» on 24 July, «до 150» on 25 July, «близько 180» on 26 July, «близько 90» on 28 July, «близько півсотні» on 30 July. The day-4 450 remains the peak. 1 SEP UPDATE: last documented action 2026-08-19; 19 distinct documented action days."
Dnipro,Dnipropetrovsk,48.4647,35.0462,100–999,Загалом до акції долучилися близько пів тисячі людей.,about 500 people joined the action overall,"31 Jul (day 16), after the march",Suspilne Dnipro,https://suspilne.media/dnipro/1368904-16-j-den-mitingiv-na-pidtrimku-fedorova-u-dnipri-dolucilisa-do-vseukrainskoi-protestnoi-hodi/,no,ended,2026-07-16,2026-08-29,35,2026-07-31,"The opening-day trajectory was «близько ста» (09:34), «кількасот» (10:53), then «близько 300». The 31 July march report initially said about 100 at the assembly point and was updated after the march to about 500 overall, making it the city's documented peak. The most persistent location after Kyiv: Dnipro.media numbered its own local actions and reached the 23rd by 6 August, more than the wave's day count, because some days carried two. By 5–6 August the format changed to a silent protest, «тиха акція» with «щонайменше 50 людей». RANDOM AUDIT 1 SEP: last documented action 2026-08-29; 35 distinct documented action days. The coordinated daily series ended on 19 August, but a re-formatted local action with about 15 people was documented on 29 August."
Lviv,Lviv,49.8397,24.0297,100–999,декілька сотень львів'ян,several hundred Lviv residents,09:30,ZAXID.NET,https://zaxid.net/kilka_soten_lvivyan_viyshli_na_aktsiyu_u_pidtrimku_ministra_oboroni_mihayla_fedorova_n1641665,no,ended,2026-07-16,2026-08-18,24,2026-07-16,"Suspilne Lviv has an article but gives no figure in the body, hence ZAXID as the source. Svobody Avenue, by the Shevchenko monument. Days 12-21 sit in a narrow band: «близько сотні» (27 Jul, NV) against «близько 150» from the police the same day (UP), «близько 200» on 28 and 30 July, «кілька сотень» for the 31 July march to Rynok Square, «близько півтора сотні» on 5 August. RANDOM AUDIT 1 SEP: the 4 August Korrespondent roundup adds one documented action day; last documented action 2026-08-18; 24 distinct documented action days."
Odesa,Odesa,46.4825,30.7233,1000–4999,близько тисячі людей,about a thousand people,19 Jul (day 4),24 Kanal (Suspilne Odesa),https://24tv.ua/aktsiyi-protestu-ukrayini-19-lipnya-yak-voni-vidbuvalisya-video_n3108406,yes,ended,2026-07-16,2026-08-18,19,2026-07-19,"Two waves. The morning action ran until 11:00, then participants dispersed and regathered at 13:00 ahead of the parliamentary session. The «ОНОВЛЕНО. 13:30» block reads «понад 60, і люди продовжують підходити»; below it, «понад сто людей» about the 13:00 gathering. Day 2 (17 Jul): a second-day action was called for 18:00 opposite the City Garden (OBOZ); Day 4 (19 Jul) was far larger: «На вулиці Дерибасівській зібралися близько тисячі людей» (24 Kanal, citing Suspilne) — a ~7× surge from day 1 and the Odesa wave peak. «Близько тисячі» sits at the 1000 boundary and is single-source, so it is marked contested and taken as 1000+ by the «близько сотні»→100–999 convention; day-1 «понад сто» and the day-2 18:00 action are the earlier points. Day 16 (31 Jul): «близько 200 осіб» took part in the march (Suspilne Odesa), an order below the contested day-4 «близько тисячі», which remains the peak. 1 SEP UPDATE: last documented action 2026-08-18; 19 distinct documented action days."
Ivano-Frankivsk,Ivano-Frankivsk,48.9226,24.7111,100–999,орієнтовно 200 людей,roughly 200 people,13:39,Suspilne Ivano-Frankivsk (police spokesperson Khrystyna Maksymchak),https://suspilne.media/ivano-frankivsk/1356324-v-ivano-frankivsku-ludi-protestuut-proti-zvilnenna-ministra-oboroni-mihajla-fedorova/,no,ended,2026-07-16,2026-08-19,28,2026-07-19,"«Акція не має терміну тривалості». Correspondents give «орієнтовно дві сотні людей», police «орієнтовно 200». The early 0342.ua slice, «десятки», is 09:34, while the crowd was gathering. Day 2 (17 Jul): people gathered again on the square by the oblast administration (Suspilne); no separate day-2 count was confirmed, so «орієнтовно 200» stands. (A day-1 relay, Halyckyj korespondent via Censor, gave «близько трьох сотень».) Settled to took place. Among the most persistent locations, covered daily by Suspilne Ivano-Frankivsk, pravda.if.ua, Informator and Firtka. The band over days 11-17 was 50-100, rising to 200 for the 1 August march («У Франківську на 17 день акцій до протестної ходи долучилися 200 людей», Suspilne). 1 SEP UPDATE: last documented action 2026-08-19; 28 distinct documented action days."
Ternopil,Ternopil,49.5535,25.5948,100–999,майже 100 людей,almost 100 people,09:40,Suspilne Ternopil,https://suspilne.media/ternopil/1356390-u-ternopoli-vidbuvaetsa-akcia-proti-zvilnenna-ministra-oboroni/,no,ended,2026-07-16,2026-08-04,9,2026-07-16,"0352.ua at 10:45 gives «понад сотня людей», which is growth rather than a contradiction. RANDOM AUDIT 1 SEP: a Korrespondent roundup confirms an additional action on 4 August; 9 distinct documented action days."
Khmelnytskyi,Khmelnytskyi,49.4229,26.9871,100–999,приблизно сто людей,approximately one hundred people,09:30,Suspilne Khmelnytskyi,https://suspilne.media/khmelnytskiy/1356330-akcia-na-pidtrimku-mihajla-fedorova-vidbulas-u-hmelnickomu/,no,ended,2026-07-16,2026-07-31,8,2026-07-16,"An apparent contradiction resolved as a time slice: «біля 50» at 9:05, «близько сотні» at 9:20, «приблизно сотня» at 9:30. A march ran from the Dytiachyi Svit mall to Independence Square. The article dateModified reads 14:38, but the text is the morning version: the figure is valid for roughly 09:30."
Lutsk,Volyn,50.7472,25.3254,100–999,близько сотні містян,about a hundred residents,10:12 · статус на 14:00,ZAXID.NET,https://zaxid.net/ukrayintsi_viyshli_na_mitingi_proti_vidstavki_mihayla_fedorova_z_posadi_ministra_oboroni_n1641668,no,ended,2026-07-16,2026-08-19,9,2026-07-16,"Two waves. «Акцію призупинили через півтори години»; participants regathered at 13:30 and the action continued as of 14:00. Suspilne gives no figure for the second wave. Lutsk added a demand absent elsewhere: the dismissal of Commander-in-Chief Oleksandr Syrskyi. The Suspilne article dateModified moved from 14:04 to 15:57 during verification while the body stayed byte-identical. Day 2 (17 Jul): «орієнтовно пів сотні людей» on Teatralnyi Maidan in the morning (Suspilne, NV); the day-1 «близько сотні» remains the peak. Settled to took place. 1 SEP UPDATE: last documented action 2026-08-19; 9 distinct documented action days."
Cherkasy,Cherkasy,49.4444,32.0598,100–999,близько сотні містян,about a hundred residents,12:15,Suspilne Cherkasy,https://suspilne.media/cherkasy/1356340-vlada-ukraini-nalezit-narodu-u-cerkasah-vidbuvsa-miting-cerez-vidstavku-fedorova/,no,ended,2026-07-16,2026-08-18,13,2026-07-16,"Growth from roughly 30 at 09:44, recorded by two independent sources, TSN and dzvin.media, to roughly 100. The action was self-organised through social media. RANDOM AUDIT 1 SEP: the 4 August Korrespondent roundup adds one documented action day; last documented action 2026-08-18; 13 distinct documented action days."
