city,07-16,07-17,07-18,07-19,07-20,07-21,07-22,07-23,07-24,07-25,07-26,07-27,07-28,07-29,07-30,07-31,08-01,08-02,08-03,08-04,08-05,08-06,08-07,08-08,08-09,08-10,08-11,08-12,08-13,08-14,08-15,08-16,08-17,08-18,08-19,08-20,08-21,08-22,08-23,08-24,08-25,08-26,08-27,08-28,08-29
Kyiv,2000,3000,2000,5000,300,300,500,300,1000,500,150,300,300,,,6000,100,,200,120,,,,,,,,,,300,,1500,,30,100,,,,,,,,,,
Kharkiv,300,,400,450,350,,,,250,150,180,,90,,50,150,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,
Dnipro,300,300,,200,300,,,,100,50,30,50,100,100,70,500,,20,,50,50,30,35,,25,35,50,30,,30,20,100,20,30,35,,,,,,,,,,15
Lviv,300,,,,,300,,,,250,,150,200,,200,300,,,100,,150,,,,,,,,,,,,,,,,,,,,,,,,
Odesa,100,,,1000,150,,,,,40,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ivano-Frankivsk,200,,200,250,,50,150,70,100,100,50,50,100,50,60,120,200,40,30,,,,20,100,,,,,,100,,80,,,30,,,,,,,,,,
Ternopil,100,20,50,,200,100,,100,,60,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khmelnytskyi,100,,150,,100,,,,30,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lutsk,100,50,,300,250,,,,100,,60,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cherkasy,100,,100,150,150,,,,150,80,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,
Vinnytsia,120,300,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poltava,100,20,,,130,,,,80,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zaporizhzhia,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kropyvnytskyi,60,90,,150,66,,50,,40,20,30,,20,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uzhhorod,50,,,,,,,,,35,30,,,20,20,40,20,17,,,12,,20,12,12,17,15,9,,,,,,,,,,,,,,,,,
Rivne,50,,,,,100,,,150,60,60,40,50,,,100,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,
Mykolaiv,45,,150,,80,35,30,,50,55,32,35,25,,,17,,,12,9,8,,,,,,,,,,,50,,,,,,,,,,,,,
Chernivtsi,40,30,,,100,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zhytomyr,30,,,,70,30,,,50,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sumy,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolomyia,11,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chernihiv,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kalush,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oleksandriia,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Izmail,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kremenchuk,,,,,,,,,40,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
