city,oblast,lat,lon,category,quote_uk,quote_en,time,source,link,contested,status,first_day,last_day,days_active,peak_day,note
Kyiv,Kyiv City,50.4501,30.5234,5000+,Поліція каже про 6 тисяч учасників.,"approximately 6,000 participants",31 Jul 2026; police estimate,Укрінформ (police estimate),https://www.ukrinform.ua/rubric-regions/4149949-u-kievi-vidbuvaetsa-protestna-hoda-za-reformi-v-oboronnij-sferi.html,yes,ended,2026-07-16,2026-08-19,28,2026-07-31,"3 Sep 2026 audit: selected peak 6,000 on 2026-07-31 (police estimate). Documented actions: 28 dates, 2026-07-16 to 2026-08-19. Published alternatives for the peak date: 300, 2000, 3000. Police6000 versus organiser up-to15000 remains unresolved. Initial approximately1000 assembly is a separate time slice, not an alternative completed-march total."
Kharkiv,Kharkiv,49.9935,36.2304,100–999,Кількість учасників акції станом на 20:30 склала 450 людей.,approximately 450 participants,19 Jul 2026; reported count,24 Канал (Суспільне) (reported count),https://24tv.ua/aktsiyi-protestu-ukrayini-19-lipnya-yak-voni-vidbuvalisya-video_n3108406,no,ended,2026-07-16,2026-08-19,19,2026-07-19,"3 Sep 2026 audit: selected peak 450 on 2026-07-19 (reported count). Documented actions: 19 dates, 2026-07-16 to 2026-08-19. Peak450 on19July replaces the old first-day300 summary. Earlier first-day200/300 observations do not contest the later period peak."
Dnipro,Dnipropetrovsk,48.4647,35.0462,100–999,Загалом до акції долучилися близько пів тисячі людей.,approximately 500 participants,31 Jul 2026; approximate,Suspilne (Дніпро) (approximate),https://suspilne.media/dnipro/1368904-16-j-den-mitingiv-na-pidtrimku-fedorova-u-dnipri-dolucilisa-do-vseukrainskoi-protestnoi-hodi/,yes,ended,2026-07-16,2026-08-29,34,2026-07-31,"3 Sep 2026 audit: selected peak 500 on 2026-07-31 (approximate). Documented actions: 34 dates, 2026-07-16 to 2026-08-29. Published alternatives for the peak date: 100, 300, 400. Completed-march estimates approximately500 and400 remain distinct; the initial approximately100 assembly is not added. Latest documented action remains29August."
Lviv,Lviv,49.8397,24.0297,100–999,декілька сотень львів’ян зібралися на акцію,normalized estimate: 300 participants,16 Jul 2026; normalized several hundred,ZAXID.NET (normalized several hundred),https://zaxid.net/kilka_soten_lvivyan_viyshli_na_aktsiyu_u_pidtrimku_ministra_oboroni_mihayla_fedorova_n1641665,no,ended,2026-07-16,2026-08-18,23,2026-07-16,"3 Sep 2026 audit: selected peak 300 on 2026-07-16 (normalized several hundred). Documented actions: 23 dates, 2026-07-16 to 2026-08-18. ZAXID body explicitly says Thursday 16 July; preserve several-hundred → 300 convention, not an explicit count."
Odesa,Odesa,46.4825,30.7233,1000–4999,близько тисячі людей.,"approximately 1,000 participants",19 Jul 2026; approximate,24 Канал (Суспільне) (approximate),https://24tv.ua/aktsiyi-protestu-ukrayini-19-lipnya-yak-voni-vidbuvalisya-video_n3108406,yes,ended,2026-07-16,2026-08-18,16,2026-07-19,"3 Sep 2026 audit: selected peak 1,000 on 2026-07-19 (approximate). Documented actions: 16 dates, 2026-07-16 to 2026-08-18. The approximately1000 boundary estimate is supported by one relay report; retain the uncertainty flag rather than claiming independent corroboration."
Ivano-Frankivsk,Ivano-Frankivsk,48.9226,24.7111,100–999,прийшли приблизно 250 людей.,approximately 250 participants,19 Jul 2026; approximate,24 Канал (Суспільне) (approximate),https://24tv.ua/aktsiyi-protestu-ukrayini-19-lipnya-yak-voni-vidbuvalisya-video_n3108406,no,ended,2026-07-16,2026-08-19,28,2026-07-19,"3 Sep 2026 audit: selected peak 250 on 2026-07-19 (approximate). Documented actions: 28 dates, 2026-07-16 to 2026-08-19. City subsection explicitly dates assembly at oblast administration to evening 19 July; correct city peak must reconcile to this value."
Ternopil,Ternopil,49.5535,25.5948,100–999,О 20:30 було майже 200 учасників.,up to 200 participants,20 Jul 2026; near upper bound,Suspilne (Тернопіль) (near upper bound),https://suspilne.media/ternopil/1359972-u-ternopoli-znovu-vidbuvaetsa-akcia-na-pidtrimku-fedorova/,no,ended,2026-07-16,2026-08-04,9,2026-07-20,"3 Sep 2026 audit: selected peak 200 on 2026-07-20 (near upper bound). Documented actions: 9 dates, 2026-07-16 to 2026-08-04. Published alternatives for the peak date: 100. Almost200 at20:30 on20July supersedes the old first-day100 peak; another report's >100 is compatible, not a conflicting upper bound."
Khmelnytskyi,Khmelnytskyi,49.4229,26.9871,100–999,зібралися понад 150 людей.,at least 150 participants,18 Jul 2026; lower bound,Suspilne (Хмельницький) (lower bound),https://suspilne.media/1358550-u-kievi-ta-insih-mistah-tretij-den-pospil-projsli-protesti-proti-vidstavki-fedorova/,no,ended,2026-07-16,2026-07-27,8,2026-07-18,"3 Sep 2026 audit: selected peak 150 on 2026-07-18 (lower bound). Documented actions: 8 dates, 2026-07-16 to 2026-07-27. Explicit 20:15 observation on 18 July; original city summary's 16 July hundred is not the period peak."
Lutsk,Volyn,50.7472,25.3254,100–999,зібралися понад 300 людей.,at least 300 participants,19 Jul 2026; lower bound,24 Канал (Суспільне) (lower bound),https://24tv.ua/aktsiyi-protestu-ukrayini-19-lipnya-yak-voni-vidbuvalisya-video_n3108406,no,ended,2026-07-16,2026-07-31,8,2026-07-19,"3 Sep 2026 audit: selected peak 300 on 2026-07-19 (lower bound). Documented actions: 8 dates, 2026-07-16 to 2026-07-31. Fourth-day Lutsk evening subsection; summary must reconcile to this peak rather than first-day hundred."
Cherkasy,Cherkasy,49.4444,32.0598,100–999,150 людей вийшли на акцію в Черкасах.,approximately 150 participants,19 Jul 2026; reported count,24 Канал (Суспільне) (reported count),https://24tv.ua/aktsiyi-protestu-ukrayini-19-lipnya-yak-voni-vidbuvalisya-video_n3108406,no,ended,2026-07-16,2026-08-18,13,2026-07-19,"3 Sep 2026 audit: selected peak 150 on 2026-07-19 (reported count). Documented actions: 13 dates, 2026-07-16 to 2026-08-18. Fourth-day Cherkasy subsection, not the nearby Dnipro 150 count."
Vinnytsia,Vinnytsia,49.2331,28.4682,100–999,Увечері 17 липня на Майдані Незалежності зібралися кілька сотень людей,normalized estimate: 300 participants,17 Jul 2026; normalized several hundred,presspoint.in.ua (normalized several hundred),https://presspoint.in.ua/2026/07/18/povernit-fedorova-u-vinnytsi-druhyy-den-pospil-tryvaiut-protesty-cherez-zminu-kerivnytstva-minoborony/,no,ended,2026-07-16,2026-07-31,6,2026-07-17,"3 Sep 2026 audit: selected peak 300 on 2026-07-17 (normalized several hundred). Documented actions: 6 dates, 2026-07-16 to 2026-07-31. Targeted gap search recovered local detailed report explicitly about evening17July, published18July. Normalize several hundred300 under agreed rule; future18–19July announcements are not observations."
Poltava,Poltava,49.5883,34.5514,100–999,Близько 130 учасників із плакатами,approximately 130 participants,20 Jul 2026; approximate,Suspilne (Полтава) (approximate),https://suspilne.media/poltava/1359978-u-poltavi-patij-den-trivaut-mitingi-proti-zvilnenna-mihajla-fedorova/,no,ended,2026-07-16,2026-07-31,6,2026-07-20,"3 Sep 2026 audit: selected peak 130 on 2026-07-20 (approximate). Documented actions: 6 dates, 2026-07-16 to 2026-07-31. Peak130 on20July is now linked to its current-event sentence. Earlier first-day estimates are not competing estimates of this peak."
