city,outlet,headline_uk,link,published,quote_uk,category,status,provenance,provenance_detail_uk,run
Kyiv,Інтерфакс-Україна,Акція на підтримку Федорова у Києві,https://interfax.com.ua/news/general/1185431.html,"16.07, 12:01 (мод. 12:41)",«захід зібрав близько двох тисяч учасників. Це переважно молодь… Половина учасників – жінки»,1000+,took place,own correspondent,власний кореспондент,13:00
Kyiv,Kyiv Post,Protest in Kyiv over Fedorov dismissal,https://www.kyivpost.com/,"16.07, 10:42",«Several thousand people assembled in the square outside the theater»,1000+,took place,own correspondent,власний кореспондент,13:00
Kyiv,AFP (через Arab News),Ukrainians protest defence minister's removal,https://www.arabnews.com/,"16.07, ~10:53",«AFP reporters in Kyiv saw more than a thousand people gathered on a central square»,1000+,took place,own correspondent,власні репортери AFP,13:00
Kyiv,Rubryka (через Gazeta.ua),—,https://gazeta.ua/,16.07,«у столиці нарахували про 1400 учасників»,1000+,took place,own correspondent,підрахунок Rubryka,13:00
Kyiv,LB.ua,У Києві на площі Франка зібрався мітинг проти звільнення Федорова з посади міністра оборони,https://lb.ua/society/2026/07/16/752264_kiievi_ploschi_franka_zibravsya.html,"16.07, 09:14 (мод. 11:27)","«Початок акції був запланований на 9:00, за попередньою оцінкою, прийшла понад тисяча людей»",1000+,took place,own correspondent,власна кореспондентка LB (Ірина Лисогор),13:00
Kyiv,Українська правда,У Києві та низці інших міст вимагають лишити Федорова міністром оборони,https://www.pravda.com.ua/news/2026/07/16/8044330/,"16.07, 09:27",«щонайменше кілька сотень людей»,100–999,took place,own correspondent,власні кор. «УП» з місця події,13:00
Kyiv,Суспільне (нац.),«Не звільняйте Федорова»: у Києві та регіонах збираються мирні акції,https://suspilne.media/1356356-u-kievi-zbirautsa-na-kartonkovij-protest-na-pidtrimku-fedorova/,"16.07, 09:14 (онов. 11:41)","«На місці вже перебувають сотні людей, більшість із них — молодь»",100–999,took place,own correspondent,кор. з місця події,13:00
Kyiv,ТСН,"«Совок — на пенсію»: відставка Федорова викликала протести по всій Україні, вийшли тисячі людей — онлайн",https://tsn.ua/ukrayina/syrskomu-ye-zamina-u-kyyevi-i-lvovi-spalakhnuly-protesty-proty-zvilnennia-fedorova-onlayn-foto-video-3128690.html,"16.07, 09:31",«на мітинг зібралися сотні людей»  заголовок каже «тисячі» — у тілі цього немає,100–999,took place,own correspondent,кореспондент ТСН,13:00
Kyiv,РБК-Україна,Під театром Франка у Києві мітинг через відставку Федорова: що відбувається,https://www.rbc.ua/rus/news/pid-teatrom-franka-kievi-miting-cherez-vidstavku-1784182983.html,"16.07, 09:23 (мод. 11:11)","«за словами журналістів, зібралось кілька сотень людей»",100–999,took place,relay,ретрансляція Суспільного,13:00
Kyiv,ZAXID.NET,Українці вийшли на мітинги проти відставки Михайла Федорова,https://zaxid.net/ukrayintsi_viyshli_na_mitingi_proti_vidstavki_mihayla_fedorova_z_posadi_ministra_oboroni_n1641668,"16.07, 10:12",«на площі Івана Франка на акцію підтримки вийшли сотні людей»,100–999,took place,not stated,не вказано,13:00
Kyiv,Детектор медіа,У Києві та інших містах розпочались акції протесту… (ФОТО),https://detector.media/infospace/article/251237/2026-07-16-u-kyievi-ta-inshykh-mistakh-rozpochalys-aktsii-protestu-proty-zvilnennya-mykhayla-fedorova-z-posady-ministra-oborony-foto/,"16.07, 09:40","«кілька сотень людей, більшість із них — молодь»",100–999,took place,relay,ретрансляція Суспільного,13:00
