city,alt_names,oblast,pop_k,tier,status,scan,new_vs_v2,ambiguous,note,stems,regex
Київ,,м. Київ,2967,A,free,yes,,,,Київ|Києв,Київ|Києв
Харків,,Харківська,1443,A,free,yes,,,,Харків|Харков,Харків|Харков
Одеса,,Одеська,1018,A,free,yes,,,,Одес,Одес
Дніпро,,Дніпропетровська,991,A,free,yes,,yes,збіг з назвою річки,Дніпр,Дніпр
Донецьк,,Донецька,908,A,occupied,no,new,,,Донець,Донець
Запоріжжя,,Запорізька,732,A,free,yes,,,,Запоріжж,Запоріжж
Львів,,Львівська,724,A,free,yes,,,,Львів|Львов,Львів|Львов
Кривий Ріг,,Дніпропетровська,619,A,free,yes,,,,Кривий Ріг|Кривого Рогу|Кривому Розі|Кривим Рогом|Криворіж|криворіж,Кривий\ Ріг|Кривого\ Рогу|Кривому\ Розі|Кривим\ Рогом|Криворіж|криворіж
Миколаїв,,Миколаївська,480,A,free,yes,,yes,є Миколаїв на Львівщині (<20k),Миколаїв|Миколаєв,Миколаїв|Миколаєв
Маріуполь,,Донецька,437,A,occupied,no,new,,,Маріупол,Маріупол
Севастополь,,м. Севастополь,404,A,occupied,no,new,,,Севастопол,Севастопол
Луганськ,,Луганська,401,A,occupied,no,new,,,Лугансь,Лугансь
Вінниця,,Вінницька,371,A,free,yes,,,,Вінниц,Вінниц
Сімферополь,,АР Крим,342,A,occupied,no,new,,,Сімферопол,Сімферопол
Макіївка,,Донецька,341,A,occupied,no,new,,,Макіївк|Макіївц,Макіївк|Макіївц
Чернігів,,Чернігівська,287,A,free,yes,,,,Чернігів|Чернігов,Чернігів|Чернігов
Полтава,,Полтавська,287,A,free,yes,,,,Полтав,Полтав
Херсон,,Херсонська,287,A,frontline,yes,,,,Херсон,Херсон
Черкаси,,Черкаська,275,A,free,yes,,,,Черкас,Черкас
Хмельницький,,Хмельницька,274,A,free,yes,,yes,збіг з прізвищем Б. Хмельницький,Хмельницьк,Хмельницьк
Чернівці,,Чернівецька,267,A,free,yes,,,,Чернівці,Чернівці
Житомир,,Житомирська,264,A,free,yes,,,,Житомир,Житомир
Суми,,Сумська,262,A,free,yes,,yes,"короткий стем «Сум» — сум, сумно, сумка",Сум,Сум
Рівне,,Рівненська,246,A,free,yes,,yes,збіг з прислівником «рівне»,Рівн,Рівн
Горлівка,,Донецька,242,A,occupied,no,new,,,Горлівк|Горлівц,Горлівк|Горлівц
Івано-Франківськ,,Івано-Франківська,238,A,free,yes,,,,Івано-Франківсь,Івано\-Франківсь
Кам'янське,,Дніпропетровська,232,A,free,yes,new,,,Кам'янськ,Кам'янськ
Кропивницький,,Кіровоградська,225,A,free,yes,,yes,збіг з прізвищем М. Кропивницький,Кропивницьк,Кропивницьк
Тернопіль,,Тернопільська,223,A,free,yes,,,,Тернопіл|Тернопол,Тернопіл|Тернопол
Кременчук,,Полтавська,219,A,free,yes,,,,Кременчу,Кременчу
Луцьк,,Волинська,217,A,free,yes,,,,Луць,Луць
Біла Церква,,Київська,209,A,free,yes,new,,,Біла Церква|Білої Церкви|Білій Церкві|Білу Церкву|Білою Церквою|Білоцерків|білоцерків,Біла\ Церква|Білої\ Церкви|Білій\ Церкві|Білу\ Церкву|Білою\ Церквою|Білоцерків|білоцерків
Краматорськ,,Донецька,152,A,frontline,yes,new,,,Краматорсь,Краматорсь
Керч,,АР Крим,152,A,occupied,no,new,,,Керч,Керч
Мелітополь,,Запорізька,152,A,occupied,no,new,,,Мелітопол,Мелітопол
Ужгород,,Закарпатська,116,A,free,yes,,,,Ужгород,Ужгород
Нікополь,,Дніпропетровська,109,A,frontline,yes,new,,,Нікопол,Нікопол
Бердянськ,,Запорізька,109,A,occupied,no,new,,,Бердянсь,Бердянсь
Бровари,,Київська,108,A,free,yes,new,,,Бровар,Бровар
Слов'янськ,,Донецька,108,A,frontline,yes,new,,,Слов'янсь,Слов'янсь
Євпаторія,,АР Крим,108,A,occupied,no,new,,,Євпаторі,Євпаторі
Алчевськ,,Луганська,107,A,occupied,no,new,,,Алчевсь,Алчевсь
Павлоград,,Дніпропетровська,104,A,free,yes,new,,,Павлоград,Павлоград
Сіверськодонецьк,Сєвєродонецьк,Луганська,102,A,occupied,no,new,yes,перейм. 2024,Сіверськодонець|Сєвєродонець,Сіверськодонець|Сєвєродонець
Кам'янець-Подільський,,Хмельницька,99,A,free,yes,new,,,Кам'янець-Поділ|Кам'янця-Поділ|Кам'янці-Поділ|Кам'янцю-Поділ|Кам'янцем-Поділ,Кам'янець\-Поділ|Кам'янця\-Поділ|Кам'янці\-Поділ|Кам'янцю\-Поділ|Кам'янцем\-Поділ
Лисичанськ,,Луганська,96,A,occupied,no,new,,,Лисичансь,Лисичансь
Мукачево,Мукачів,Закарпатська,86,A,free,yes,new,,,Мукачев|Мукачів|Мукачов|Мукачів|Мукачев,Мукачев|Мукачів|Мукачов|Мукачів|Мукачев
Конотоп,,Сумська,86,A,free,yes,new,,,Конотоп,Конотоп
Умань,,Черкаська,83,A,free,yes,new,,,Уман,Уман
Хрустальний,Красний Луч,Луганська,80,A,occupied,no,new,,,Хрустальн|Красний Луч,Хрустальн|Красний\ Луч
Ялта,,АР Крим,79,A,occupied,no,new,,,Ялт,Ялт
Олександрія,,Кіровоградська,78,A,free,yes,new,yes,збіг з ім'ям Олександрія/Alexandria,Олександрі,Олександрі
Єнакієве,,Донецька,77,A,occupied,no,new,,,Єнакієв,Єнакієв
Бердичів,,Житомирська,75,A,free,yes,new,,,Бердичів|Бердичев,Бердичів|Бердичев
Дрогобич,,Львівська,75,A,free,yes,new,,,Дрогобич,Дрогобич
Шостка,,Сумська,74,A,free,yes,new,,,Шостк|Шостц,Шостк|Шостц
Кадіївка,Стаханов,Луганська,74,A,occupied,no,new,,,Кадіївк|Кадіївц|Стаханов,Кадіївк|Кадіївц|Стаханов
Бахмут,Артемівськ,Донецька,73,A,occupied,no,new,,,Бахмут|Артемівсь,Бахмут|Артемівсь
Ізмаїл,,Одеська,71,A,free,yes,new,,,Ізмаїл,Ізмаїл
Самар,Новомосковськ,Дніпропетровська,70,A,free,yes,new,yes,перейм. 2024; збіг з р. Самара та рос. містом,Самар|Новомосковсь,Самар|Новомосковсь
Костянтинівка,,Донецька,70,A,frontline,yes,new,,,Костянтинівк|Костянтинівц,Костянтинівк|Костянтинівц
Ковель,,Волинська,68,A,free,yes,new,,,Ковел,Ковел
Ніжин,,Чернігівська,68,A,free,yes,new,,,Ніжин,Ніжин
Феодосія,,АР Крим,68,A,occupied,no,new,,,Феодосі,Феодосі
Сміла,,Черкаська,67,A,free,yes,new,yes,збіг з «сміла» (прикметник),Сміл,Сміл
Калуш,,Івано-Франківська,66,A,free,yes,new,,,Калуш,Калуш
Шептицький,Червоноград,Львівська,66,A,free,yes,new,yes,перейм. 2024; збіг з митрополитом Шептицьким — шукай обидві назви,Шептицьк|Червоноград,Шептицьк|Червоноград
Первомайськ,,Миколаївська,64,A,free,yes,new,yes,є окупований Первомайськ на Луганщині та Первомайський на Харківщині,Первомайсь,Первомайсь
Бориспіль,,Київська,63,A,free,yes,new,yes,"часто = аеропорт, не місто — перевіряй контекст",Бориспіл|Бориспол,Бориспіл|Бориспол
Коростень,,Житомирська,63,A,free,yes,new,,,Коростен,Коростен
Довжанськ,Свердловськ,Луганська,63,A,occupied,no,new,,,Довжансь|Свердловсь,Довжансь|Свердловсь
Покровськ,,Донецька,62,A,frontline,yes,new,yes,статус на липень 2026 перевір окремо,Покровсь,Покровсь
Коломия,,Івано-Франківська,61,A,free,yes,new,,,Коломи,Коломи
Ірпінь,,Київська,60,A,free,yes,new,,,Ірпін|Ірпен,Ірпін|Ірпен
